,date,name,tweet
81,2014-12-08,중소벤처기업부,"창업을 한다는 오중기에게 끊이지 않는 엄마의 잔소리ㅠㅠ오중기는 어떻게 엄마의 잔소리에서 벗어날 수 있을까요? 꿈꾸는 대표님 웹툰판, 제3화에서 확인하세요! ▶ http://t.co/Nb4CuQoe5G  http://t.co/E0YRaFBuHV"
82,2014-12-08,중소벤처기업부,"[기업마당, 옥의 티를 찾아라] 기업인을 위한 알짜 정보! 기업마당이 새단장했습니다.  눈 크~게 뜨고 옥의 티를 알려주시는 분께  푸짐한 상품 드립니다!  참여하기&gt;&gt;&gt; http://t.co/6EkEfR1AJo  http://t.co/Kku195dRNx"
83,2014-12-08,중소벤처기업부,"[12월 08일] 점심먹고 땡! 하루 한 개 중기청 이벤트! 중소기업의 권익을 대변하고, 현장의 규제 애로를 개선하는 이곳은 어디일까요?!  힌트보러 가기&gt;&gt;&gt;  http://t.co/sKbOgmFqUA  http://t.co/k80kKWDNiV"
84,2014-12-08,중소벤처기업부,[우리의 소리를 찾아서] 짝짝짝 짝짝짝 짝짝짝짝 짝짝짝 이 소리는 대전에 위치한 중소기업청이 트친여러분께 삼삼칠 박수로 응원하는 소리입니다. #이번주도_모든_중소기업_소상공인_여러분_화이팅!  http://t.co/w6bWs2jA9o
85,2014-12-05,중소벤처기업부,"[12월 05일] 점심먹고 땡! 하루 한 개 중기청 넌센스 퀴즈! #당첨자발표 오늘의 정답은~ 바로 사장님입니다! 대한민국 모든 중소기업 사장님들 응원합니다! @Lindacharm, @neoamio님! DM으로 성함과 받으실 연락처 보내주세요!"
86,2014-12-05,중소벤처기업부,동영상에 메시지 추가  http://t.co/V5FTeDtkQd
87,2014-12-05,중소벤처기업부,띵동! 핵심 정책정보 문자 왔습니다~! #실시간_핵심_정책정보가_문자로_딱! #신청만하면_딱! 요기서 신청하세요&gt;&gt;  http://t.co/gtmksUHR3z  http://t.co/I02ubxg4PU
88,2014-12-05,중소벤처기업부,"동영상을 @YouTube 재생목록  http://t.co/eUrFOFXOAy 골목 옆 시장, 의정부 제일시장 편!에 추가했습니다."
89,2014-12-05,중소벤처기업부,@chldbswp12 맞팔했습니다 ;-)
90,2014-12-05,중소벤처기업부,[12월 05일] 점심먹고 땡! 하루 한 개 중기청 넌센스 퀴즈! 금요일 점심. 여러분을 카오스에 빠트릴 중기청 넌센스 퀴즈...! 정답을 아시는 분들은 답글을 남겨주세요. 추첨을 통해 5분께 초콜렛을 슝-*  http://t.co/ruzpYQfNWu
91,2014-12-05,중소벤처기업부,#월리좀_찾아봤던_사람이라면 #이정돈_식은죽_먹기 #기업마당_개편기념_옥의티를_찾아라_이벤트_절찬리진행중 요기서 참여하기&gt;&gt;&gt; http://t.co/6EkEfR1AJo  http://t.co/LiRzfR2wjk
92,2014-12-04,중소벤처기업부,@cws7723 맞팔 완료했습니다:)
93,2014-12-04,중소벤처기업부,@apfh37 네:) 맞팔 완료했습니다 ;-)
94,2014-12-04,중소벤처기업부,"[12월 04일] 점심먹고 땡! 하루 한 개 중기청 퀴즈! #당첨자발표 오늘 골목옆시장이 찾아간 이곳 시흥 삼미시장입니다:) @cws7723,@apfh37님! DM으로 성함과 받으실 연락처 보내주세요 ;-)  http://t.co/kXRuBf0n8Y"
95,2014-12-04,중소벤처기업부,중소기업청의 존재의 이유를 고민하며 꾹꾹 눌러 쓴 이야기. #정책아이디어_사례집_생각을_바꾸니_고객이_웃더라 #E_BOOK으로_만나보기  http://t.co/KjhGEIj3vn  http://t.co/lLmuGkgubT
96,2014-12-04,중소벤처기업부,[12월 04일] 점심먹고 땡! 하루 한 개 중기청 퀴즈! 오늘 골목옆시장이 찾아간 이곳은 어디일까요? 2시 부터 3시까지 만날 수 있는데요!  정답을 모르겠다면? &gt;&gt;  http://t.co/ZIYzsjgO9V  http://t.co/wYyTxxzqGs
97,2014-12-04,중소벤처기업부,"[골목 옆 시장, #시흥 #삼미시장 편!] 골목 옆 시장, 오늘 찾아 간 곳은 바로 시흥 삼미시장입니다!  삼미시장의 매력, 2시부터 3시까지 생중계로 만나볼까요?!  http://t.co/ZIYzsjgO9V  http://t.co/KzVLlE4MOW"
98,2014-12-04,중소벤처기업부,[중소기업청_중기동 #마녀빵집_마지막_이야기. 처음 좌절을 맛본 꼬꼬마 마녀에게 언니 마녀가 전하는 말. 그리고 그 이후 이야기까지!  블로그에서 만나보세요:)  http://t.co/qyujTVgKk6  http://t.co/PVpeSMhadp
99,2014-12-03,중소벤처기업부,@zkdp8989 맞팔했습니다 ;-)
100,2014-12-03,중소벤처기업부,"[12월 03일] 점심먹고 땡! 중기청 이벤트!  ""우수 중소기업 제품이 한류타고 2014 MAMA에 간대!"" 소문이벤트 당첨자!! @zkdp8989, @jkc206, @grean39님! DM으로 (이름/전화번호/받으실 주소)를 보내주세요^^~"
101,2014-12-03,중소벤처기업부,"@lovemegiant 지난 주차 당첨 분들께 중복으로 지급되어, 취소 처리 된 내용입니다.기분 상하게 해 드려 죄송합니다."
102,2014-12-03,중소벤처기업부,"@lovemegiant 그간 열심히 이벤트 참여 해주셨는데, 이렇게 실망시켜 드려 죄송합니다. 다시금  죄송하다는 말씀드립니다. 다음부터는 이런 실수 없도록 하겠습니다.죄송합니다"
103,2014-12-03,중소벤처기업부,“글로벌 시장개척단”들이 해외 창업 생태계를 탐험하기 위해 떠난 그 곳은 바로! 유럽! 해외_경쟁력을_갖춘_국내_우수기업_유럽_창업_생태계_탐험_이야기_확인_하세요!  http://t.co/00t9l4s9hj  http://t.co/3Ry72drcXQ
104,2014-12-03,중소벤처기업부,@abhotshot 헷헷 ;-)
